# Guinier Analysis for 50C | 22 December 2023q^2,ln(I)
2.751883920566893546e-04,2.482594119544328848e+00
3.251277118797490299e-04,2.440357822560201395e+00
3.792285201585547465e-04,2.411244790797389737e+00
4.374907877265744676e-04,2.373356956027913078e+00
4.999144831739093684e-04,2.330525387774830648e+00
5.664995728473387225e-04,2.280001608378476874e+00
6.372460208503720512e-04,2.221807324791372995e+00
7.121537890433024673e-04,2.159238457431051472e+00
7.912228370432641909e-04,2.094408119573147875e+00
8.744531222242915309e-04,2.019431018548558665e+00
9.618445997173845873e-04,1.943180102276021337e+00
1.053397222410574954e-03,1.864828379175626161e+00
1.149110940948996950e-03,1.781189678724098391e+00
1.248985703734960913e-03,1.688147178849758401e+00
1.353021456928032128e-03,1.588873836883960333e+00
1.461218144445110192e-03,1.491390092955846347e+00
1.573575707960512497e-03,1.396236133928768997e+00
1.690094086906062699e-03,1.293258494743037446e+00
1.810773218471180713e-03,1.187024985159005563e+00
1.935613037602975295e-03,1.077117833064756169e+00
